Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
83,Pure,X360,2008,Racing,Disney Interactive Studios,1.37,0.84,0,0.24,2.46
84,Rock Band,X360,N/A,Misc,Electronic Arts,1.91,0.33,0,0.21,2.45
85,Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.54,0.6,0.02,0.23,2.39
86,Madden NFL 08,X360,2007,Sports,Electronic Arts,2.17,0.01,0,0.18,2.36
87,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.4,0.74,0,0.22,2.36
88,Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.39,0.69,0.04,0.22,2.34
89,Dead Island,X360,2011,Action,Deep Silver,1.45,0.69,0,0.19,2.33
90,Kinect: Disneyland Adventures,X360,2011,Misc,Microsoft Game Studios,1.69,0.42,0.02,0.17,2.29
91,Zumba Fitness,X360,2010,Sports,505 Games,1.67,0.44,0,0.17,2.28
92,Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,1.34,0.71,0.02,0.21,2.28
93,Skate 3,X360,2010,Sports,Electronic Arts,1.24,0.83,0,0.21,2.28
94,NBA 2K14,X360,2013,Sports,Take-Two Interactive,1.94,0.18,0,0.14,2.27
95,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.6,0.45,0.01,0.19,2.25
96,Rock Band 2,X360,2008,Misc,Electronic Arts,1.76,0.23,0,0.18,2.18
97,Saints Row,X360,2006,Action,THQ,1.16,0.77,0.02,0.22,2.17
98,Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,1,0.96,0,0.2,2.16
99,BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.42,0.54,0.02,0.19,2.16
100,Guitar Hero II,X360,2007,Misc,Activision,1.97,0.02,0,0.16,2.15
101,The Sims 3,X360,2010,Simulation,Electronic Arts,1.16,0.76,0,0.19,2.12
102,Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,1.23,0.66,0.01,0.2,2.11
103,Madden NFL 25,X360,2013,Sports,Electronic Arts,1.89,0.06,0,0.12,2.06
104,Dead Rising,X360,2006,Action,Capcom,1.13,0.64,0.08,0.2,2.06
105,UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.47,0.39,0,0.18,2.05
106,NBA 2K11,X360,2010,Sports,Take-Two Interactive,1.81,0.11,0.01,0.12,2.05
107,Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.03,0.78,0.01,0.21,2.04
108,Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft,1.18,0.62,0.04,0.19,2.03
109,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,0.47,1.27,0.02,0.25,2.02
110,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.42,0.41,0.01,0.16,2.01
111,Just Dance 3,X360,2011,Misc,Ubisoft,1.45,0.38,0,0.16,1.99
112,Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.54,0.3,0,0.13,1.98
113,Call of Duty 2,X360,2005,Shooter,Activision,1.77,0.04,0.01,0.15,1.96
114,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94
