Need-for-Speed-Shift-2-Unleashed,shift-2-unleashed,
New-Hayarigami,shin-hayarigami,
Next-Hatsune-Miku-Project-Diva,hatsune-miku-project-diva-f,
No-More-Heroes-Red-Zone,game_dismissed,
One-Piece-Pirate-Musou,one-piece-pirate-warriors,
Order-Up!!,order-up,
Ore-no-Imouto-ga-Konna-ni-Kawaii-Wake-ga-Nai-Happy-EnD,ore-no-imouto-ga-konnani-kawaii-wake-ga-nai-happy,
Painkiller-Hell-&-Damnation,painkiller-hell-and-damnation,
Persona-4-The-Ultimax-Ultra-Suplex-Hold,game_dismissed,
PES-2009-Pro-Evolution-Soccer,pro-evolution-soccer-2009,
Port-Royale-3,port-royale-3-pirates-and-merchants,
Pro-Yaky?-Spirits-2014,pro-yakyuu-spirits-2014,
Project-Versus-J,game_dismissed,
R-U-S-E-,r-u-s-e,
Rabbids-Invasion-The-Interactive-TV-Show,game_dismissed,
Rain-(PS3),rain,
Rango-The-Video-Game,rango-2011,
Rapala-Fishing-Frenzy-2009,rapalas-fishing-frenzy,
Ratatouille,disney-pixar-ratatouille,
Ratchet-and-Clank-Collection,ratchet-and-clank-collection,
Ratchet-and-Clank-Future-A-Crack-in-Time,ratchet-and-clank-future-a-crack-in-time,
Ratchet-and-Clank-Future-Quest-for-Booty,ratchet-and-clank-future-quest-for-booty,
Ratchet-and-Clank-Future-Tools-of-Destruction,ratchet-and-clank-future-tools-of-destruction,
Resident-Evil-Chronicles-HD,resident-evil-chronicles-hd-collection,
Ride-to-Hell,ride-to-hell-retribution,
Rinne-no-Lagrange-Kamogawa-Days,rinne-no-lagrange-kamokawa-days-game-and-ova-hybrid,
Robotics,Notes,robotics-notes
Rock-Band-Track-Pack-Volume-2,game_dismissed,
Rocksmith-2014,rocksmith-2014-edition,
Romance-of-the-Three-Kingdoms-XII,game_dismissed,
Ryu-Ga-Gotoku-Kenzan!,ryu-ga-gotoku-kenzan,
Sakigake-Otokojuku-Nihon-yo-Kore-ga-Otoko-Dearu,sakigake-otokojuku-nihon-yo-kore-ga-otoko-dea,
SBK-2011-FIM-Superbike-World-Championship,sbk-2011,
SBK09-Superbike-World-Championship,sbk-09-superbike-world-championship,
Scene-It?-Bright-Lights!-Big-Screen!,scene-it-bright-lights-big-screen,
SCORE-International-Baja-1000-The-Official-Game,score-international-baja-1000,
Sega-Golf-Club-Miyazato-San-Kyoudai-Naizou,miyazato-san-kyoudai-naizou-sega-golf-club,
Sherlock-Holmes-Crimes-&-Punishments,crimes-and-punishments,
Shin-Dynasty-Warriors-Gundam,game_dismissed,
Shin-Koihime-Musou-Otome-Taisen-*-Sangokushi-Engi,shin-koihime-musou-otome-taisen-sangokushi-engi,
Shinken-de-Watashi-ni-Koi-Shinasai!-R,shinken-de-watashi-ni-koi-shinasai-r,
Sniper-Elite-3,sniper-elite-iii,
Soccer-Tsuku-Pro-Soccer-Club-o-Tsukurou!,soccer-tsuku-pro-soccer-club-o-tsukurou,
Sonic-&-All-Stars-Racing-Transformed,sonic-and-all-stars-racing-transformed,
Sonic-&-SEGA-All-Stars-Racing,sonic-and-sega-all-stars-racing,
Split/Second,split-second,
Star-Ocean-The-Last-Hope-International,star-ocean-the-last-hope,
Star-Trek-The-Game,star-trek-the-video-game,
Strider-(2014),strider,
Super-Robot-Taisen-OG-Saga-Masou-Kishin-III-Pride-of-Justice,super-robot-taisen-og-saga-masou-kishin-iii-pri,
Super-Robot-Wars-OG-Saga-Masou-Kishin-F-Coffin-of-the-End,super-robot-taisen-og-saga-masou-kishin-f-coffin,
Tales-of-Zesteria,game_dismissed,
Tears-to-Tiara-II-Haou-no-Matsuei,game_dismissed,
Test-Drive-Ferrari-Legends,test-drive-ferrari-racing-legends,
The-Amazing-Spider-Man-(Console-Version),the-amazing-spider-man,
The-Amazing-Spider-Man-2-(2014),the-amazing-spider-man-2,
The-Eye-of-Judgment,the-eye-of-judgment-legends,
The-God-of-War-Trilogy,god-of-war-trilogy,
The-Godfather-Dons-Edition,the-godfather,
The-Guided-Fate-Cross-Thesis-Awakening,game_dismissed,
The-ICO-&-Shadow-of-the-Colossus-Collection,the-ico-and-shadow-of-the-colossus-collection,
The-Jak-and-Daxter-Collection,jak-and-daxter-collection,
